0|null|null|null
1|30000000|29550000|30450000
2|34000000|33520000|34480000
3|38000000|37480000|38520000
4|42000000|41450000|42550000
5|120000000|119825000|120175000
6|130000000|129775000|130225000
7|140000000|139725000|140275000
8|150000000|149650000|150350000
9|160000000|159575000|160425000
10|170000000|169450000|170550000
11|325000000|320000000|330000000
12|352000000|342000000|362000000
13|640000000|590000000|690000000
14|850000000|800000000|900000000
15|1400000000|1270000000|1530000000
16|2300000000|2175000000|2425000000
17|4800000000|4675000000|4925000000
18|8500000000|8375000000|8625000000
19|33000000|31000000|34000000
20|39000000|38000000|40000000
21|45000000|44000000|46000000
22|51000000|50000000|52000000
23|57000000|56000000|58000000
24|63000000|62000000|64000000
25|69000000|68000000|70000000
26|75000000|74000000|76000000
