# RA DEC Total_flux e_Total_flux

184.554147705 -2.01208426213 0.88006852665 0.01
176.62493739 0.855817745162 0.414916041051 0.01
175.905054587 -2.75332333026 0.402841256702 0.01
178.232890767 0.904912577545 0.739143443317 0.01
182.076807543 -2.73505186197 0.438068369759 0.01
183.765972149 0.436289308783 0.844228300387 0.01
184.660310565 -1.60564090728 0.840473874704 0.01
180.705304395 -4.1353674266 0.343778631022 0.01
183.610998475 0.755379621748 0.657573322459 0.01
180.644252394 -1.73353230979 0.894749661106 0.01
179.624005359 -1.09886778795 0.603881861874 0.01
179.942392462 -4.22978019299 0.408240026131 0.01
178.517248776 1.34875671653 0.118359922627 0.01
180.589298008 -0.714643026858 0.656025586216 0.01
179.726994585 3.27081442055 0.790793645419 0.01
181.370505642 -3.42491171852 0.368083404559 0.01
178.027984656 -2.43427544237 0.679737611712 0.01
182.706579875 -2.71346223568 0.0714829909856 0.01
179.770962168 3.57301124368 0.694706932482 0.01
182.862622356 3.45359791994 0.632727038941 0.01
181.255258192 -2.91513426573 0.40621500793 0.01
179.439743385 -2.33921911939 0.637343965996 0.01
180.614082884 -1.61213650644 0.63570336199 0.01
181.970936449 -4.26831858699 0.914533847074 0.01
178.866929647 -0.773580589524 0.893785584687 0.01
182.283926184 0.828786902375 0.351987296364 0.01
176.56345522 -3.01725961989 0.734300527678 0.01
181.980943975 -3.81292772073 0.510101770977 0.01
178.961734339 0.443056167471 0.26800373154 0.01
182.46325482 3.60796750276 0.170753074651 0.01
176.242975008 -0.820645463717 0.596641118666 0.01
181.468998008 -2.09649925757 0.863512233829 0.01
181.06484902 1.71769497869 0.845582141336 0.01
178.735879724 1.6743695911 0.417299149176 0.01
175.50717517 0.801706556712 0.373447930761 0.01
179.373471134 2.82367310333 0.882421217199 0.01
177.000293205 -0.0717732223439 0.439264350806 0.01
183.568854695 -0.642259193165 0.220279538415 0.01
180.011252545 -4.52649659924 0.0585251273216 0.01
175.968736098 0.170707700941 0.052769613542 0.01
176.301663025 -2.03659247107 0.059772175573 0.01
181.77836811 -1.26351730179 0.171012682223 0.01
180.761347065 -2.27900757938 0.527149327131 0.01
175.02600364 -0.182741337844 0.108131162145 0.01
176.044916044 -0.1064764622 0.526399590468 0.01
178.026415494 -1.51549822171 0.246391689368 0.01
179.943661688 3.35101865702 0.763713028488 0.01
177.841840906 0.898494044697 0.24373731786 0.01
180.138474133 2.58017044255 0.494249923151 0.01
176.908741037 0.240988944655 0.576185352838 0.01
182.566751809 -1.54494269487 0.49991403064 0.01
180.893881265 2.57076731517 0.640195117602 0.01
181.633234394 -2.02878832019 0.631971459891 0.01
180.250586126 2.44709023191 0.786651928248 0.01
181.726555167 1.73735652523 0.198449630668 0.01
178.512822527 3.51878488823 0.600150373277 0.01
177.443243479 -3.04466510338 0.685943949637 0.01
179.66998046 -4.2947656552 0.194559590208 0.01
